Carrera,Año_de_Cursada,Codigo_Materia,Materia,Docente,Tipo_Clase,Dia,Hora_Inicio,Hora_Fin,Aula_Sede
Lic. en Fonoaudiología,1er Año,811,Ontología del Lenguaje y la Comunicación Humana,Javier Cabrera Grosso,Teo-Prac,Lunes,17:00,20:00,-
Lic. en Fonoaudiología,1er Año,812,Fundamentos de la Fonoaudiología,"Cáceres, Milva Gisela",Teo-Prac,Martes,17:30,20:30,-
Lic. en Fonoaudiología,1er Año,813,Epistemología,Martín Zolkower,Teórico,Miércoles,16:00,18:00,-
Lic. en Fonoaudiología,1er Año,813,Epistemología,Martín Zolkower,Práctico,Miércoles,14:00,16:00,-
Lic. en Fonoaudiología,1er Año,813,Epistemología,Martín Zolkower,Práctico,Miércoles,18:00,20:00,-
Lic. en Fonoaudiología,1er Año,814,Anatomofisiología Fonoaudiológica,Malvina Rocío Castillo,Teórico,Jueves,15:00,17:00,-
Lic. en Fonoaudiología,1er Año,814,Anatomofisiología Fonoaudiológica,Malvina Rocío Castillo,Práctico,Jueves,13:00,15:00,-
Lic. en Fonoaudiología,1er Año,814,Anatomofisiología Fonoaudiológica,Malvina Rocío Castillo,Práctico,Jueves,17:00,19:00,-
Lic. en Fonoaudiología,1er Año,815,Acústica,Disipio Laureano,Teo-Prac,Jueves,19:00,22:00,-
Lic. en Fonoaudiología,1er Año,223,Introducción a la Psicología,Fischquin Roxana,Teórico,Viernes,10:00,12:00,Aula 1
Lic. en Fonoaudiología,1er Año,223,Introducción a la Psicología,Fischquin Roxana,Teórico,Viernes,16:00,18:00,Aula 1
Lic. en Fonoaudiología,1er Año,223,Introducción a la Psicología,Fischquin Roxana,Práctico,Viernes,08:00,10:00,Aula 2 / 3
Lic. en Fonoaudiología,1er Año,223,Introducción a la Psicología,Fischquin Roxana,Práctico,Viernes,12:00,14:00,Aula 2 / 3
Lic. en Fonoaudiología,1er Año,223,Introducción a la Psicología,Fischquin Roxana,Práctico,Viernes,18:00,20:00,Aula 2 / 3
